Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,YearMonth,Day,DayOfWeek,DayName,IsWeekend,_gold_built_at
2021-05-14,20210514,2021,2,Q2,5,May,May,2021-05,14,5,Friday,False,2026-06-24 00:14:59.277238
2021-05-15,20210515,2021,2,Q2,5,May,May,2021-05,15,6,Saturday,True,2026-06-24 00:14:59.277238
2021-05-16,20210516,2021,2,Q2,5,May,May,2021-05,16,7,Sunday,True,2026-06-24 00:14:59.277238
2021-05-17,20210517,2021,2,Q2,5,May,May,2021-05,17,1,Monday,False,2026-06-24 00:14:59.277238
2021-05-18,20210518,2021,2,Q2,5,May,May,2021-05,18,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-05-19,20210519,2021,2,Q2,5,May,May,2021-05,19,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-05-20,20210520,2021,2,Q2,5,May,May,2021-05,20,4,Thursday,False,2026-06-24 00:14:59.277238
2021-05-21,20210521,2021,2,Q2,5,May,May,2021-05,21,5,Friday,False,2026-06-24 00:14:59.277238
2021-05-22,20210522,2021,2,Q2,5,May,May,2021-05,22,6,Saturday,True,2026-06-24 00:14:59.277238
2021-05-23,20210523,2021,2,Q2,5,May,May,2021-05,23,7,Sunday,True,2026-06-24 00:14:59.277238
2021-05-24,20210524,2021,2,Q2,5,May,May,2021-05,24,1,Monday,False,2026-06-24 00:14:59.277238
2021-05-25,20210525,2021,2,Q2,5,May,May,2021-05,25,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-05-26,20210526,2021,2,Q2,5,May,May,2021-05,26,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-05-27,20210527,2021,2,Q2,5,May,May,2021-05,27,4,Thursday,False,2026-06-24 00:14:59.277238
2021-05-28,20210528,2021,2,Q2,5,May,May,2021-05,28,5,Friday,False,2026-06-24 00:14:59.277238
2021-05-29,20210529,2021,2,Q2,5,May,May,2021-05,29,6,Saturday,True,2026-06-24 00:14:59.277238
2021-05-30,20210530,2021,2,Q2,5,May,May,2021-05,30,7,Sunday,True,2026-06-24 00:14:59.277238
2021-05-31,20210531,2021,2,Q2,5,May,May,2021-05,31,1,Monday,False,2026-06-24 00:14:59.277238
2021-06-01,20210601,2021,2,Q2,6,June,Jun,2021-06,1,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-06-02,20210602,2021,2,Q2,6,June,Jun,2021-06,2,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-06-03,20210603,2021,2,Q2,6,June,Jun,2021-06,3,4,Thursday,False,2026-06-24 00:14:59.277238
2021-06-04,20210604,2021,2,Q2,6,June,Jun,2021-06,4,5,Friday,False,2026-06-24 00:14:59.277238
2021-06-05,20210605,2021,2,Q2,6,June,Jun,2021-06,5,6,Saturday,True,2026-06-24 00:14:59.277238
2021-06-06,20210606,2021,2,Q2,6,June,Jun,2021-06,6,7,Sunday,True,2026-06-24 00:14:59.277238
2021-06-07,20210607,2021,2,Q2,6,June,Jun,2021-06,7,1,Monday,False,2026-06-24 00:14:59.277238
2021-06-08,20210608,2021,2,Q2,6,June,Jun,2021-06,8,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-06-09,20210609,2021,2,Q2,6,June,Jun,2021-06,9,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-06-10,20210610,2021,2,Q2,6,June,Jun,2021-06,10,4,Thursday,False,2026-06-24 00:14:59.277238
2021-06-11,20210611,2021,2,Q2,6,June,Jun,2021-06,11,5,Friday,False,2026-06-24 00:14:59.277238
2021-06-12,20210612,2021,2,Q2,6,June,Jun,2021-06,12,6,Saturday,True,2026-06-24 00:14:59.277238
2021-06-13,20210613,2021,2,Q2,6,June,Jun,2021-06,13,7,Sunday,True,2026-06-24 00:14:59.277238
2021-06-14,20210614,2021,2,Q2,6,June,Jun,2021-06,14,1,Monday,False,2026-06-24 00:14:59.277238
2021-06-15,20210615,2021,2,Q2,6,June,Jun,2021-06,15,2,Tuesday,False,2026-06-24 00:14:59.277238
2021-06-16,20210616,2021,2,Q2,6,June,Jun,2021-06,16,3,Wednesday,False,2026-06-24 00:14:59.277238
2021-06-17,20210617,2021,2,Q2,6,June,Jun,2021-06,17,4,Thursday,False,2026-06-24 00:14:59.277238
2021-06-18,20210618,2021,2,Q2,6,June,Jun,2021-06,18,5,Friday,False,2026-06-24 00:14:59.277238
2021-06-19,20210619,2021,2,Q2,6,June,Jun,2021-06,19,6,Saturday,True,2026-06-24 00:14:59.277238
2021-06-20,20210620,2021,2,Q2,6,June,Jun,2021-06,20,7,Sunday,True,2026-06-24 00:14:59.277238
2021-06-21,20210621,2021,2,Q2,6,June,Jun,2021-06,21,1,Monday,False,2026-06-24 00:14:59.277238
